category,skill_family,difficulty,item_id,display_text,print_prompt,trace_prompt,overlay_hint
number,number_tracing,easy,number_0,0,TRACE NUMBER 0,Trace zero,one closed oval loop
number,number_tracing,easy,number_1,1,TRACE NUMBER 1,Trace one,one straight line
number,number_tracing,easy,number_2,2,TRACE NUMBER 2,Trace two,top curve diagonal and bottom line
number,number_tracing,easy,number_3,3,TRACE NUMBER 3,Trace three,two stacked curves
number,number_tracing,medium,number_4,4,TRACE NUMBER 4,Trace four,one vertical one horizontal and one diagonal
number,number_tracing,medium,number_5,5,TRACE NUMBER 5,Trace five,top line vertical line and bottom curve
number,number_tracing,medium,number_6,6,TRACE NUMBER 6,Trace six,curve with one closed loop
number,number_tracing,easy,number_7,7,TRACE NUMBER 7,Trace seven,top line with a slant down
number,number_tracing,hard,number_8,8,TRACE NUMBER 8,Trace eight,two stacked loops
number,number_tracing,medium,number_9,9,TRACE NUMBER 9,Trace nine,top loop with a tail down
